rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
973,Dios está en este lugar,Tercer Cielo,tercer_cielo,dios_esta_en_este_lugar,15,8.32,1,R,https://acordes.lacuerda.net/tercer_cielo/dios_esta_en_este_lugar
974,Mi Mejor Adoracion,Marco Barrientos,marco_barrientos,mi_mejor_adoracion,15,8.27,1,R,https://acordes.lacuerda.net/marco_barrientos/mi_mejor_adoracion
975,Quien Quien Quien Como Jehova,Música Religiosa,musica_religiosa,quien_quien_quien_como_jehova,15,8.27,1,R,https://acordes.lacuerda.net/musica_religiosa/quien_quien_quien_como_jehova
976,Desborde,Marco Barrientos,marco_barrientos,desborde,15,8.2,1,T,https://acordes.lacuerda.net/marco_barrientos/desborde
977,Dulce Espíritu,Generacion 12,generacion_12,dulce_espiritu,15,8.2,1,R,https://acordes.lacuerda.net/generacion_12/dulce_espiritu
978,Hoy En Oración,Música Religiosa,musica_religiosa,hoy_en_oracion,15,8.18,1,R,https://acordes.lacuerda.net/musica_religiosa/hoy_en_oracion
979,Nadie Como Tu,Marcos Witt,marcos_witt,nadie_como_tu,15,8.13,1,R,https://acordes.lacuerda.net/marcos_witt/nadie_como_tu
980,Saliendo del pretorio,Música Religiosa,musica_religiosa,saliendo_del_pretorio,15,8.13,1,R,https://acordes.lacuerda.net/musica_religiosa/saliendo_del_pretorio
981,Por la calzada de Emaús,Música Religiosa,musica_religiosa,por_la_calzada_de_emaus,15,8.07,1,R,https://acordes.lacuerda.net/musica_religiosa/por_la_calzada_de_emaus
982,Hosana al hijo de David,Música Religiosa,musica_religiosa,hosana_al_hijo_de_david,15,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/hosana_al_hijo_de_david
983,Jesucristo,Música Religiosa,musica_religiosa,jesucristo,15,7.93,1,R,https://acordes.lacuerda.net/musica_religiosa/jesucristo
984,Padre Nuestro,Marcos Witt,marcos_witt,padre_nuestro,15,7.93,1,R,https://acordes.lacuerda.net/marcos_witt/padre_nuestro
985,Arriba nuestros ramos,Música Religiosa,musica_religiosa,arriba_nuestros_ramos,15,7.67,1,R,https://acordes.lacuerda.net/musica_religiosa/arriba_nuestros_ramos
986,No Tengas Miedo,Música Religiosa,musica_religiosa,no_tengas_miedo,15,7.58,1,R,https://acordes.lacuerda.net/musica_religiosa/no_tengas_miedo
987,Padre Bueno,Música Religiosa,musica_religiosa,padre_bueno,15,7.53,1,R,https://acordes.lacuerda.net/musica_religiosa/padre_bueno
988,Elias,Música Religiosa,musica_religiosa,elias,15,7.47,1,R,https://acordes.lacuerda.net/musica_religiosa/elias
989,Incomparable Dios,Marco Barrientos,marco_barrientos,incomparable_dios,15,7.47,1,R,https://acordes.lacuerda.net/marco_barrientos/incomparable_dios
990,No tengo miedo,Música Religiosa,musica_religiosa,no_tengo_miedo,15,7.47,1,R,https://acordes.lacuerda.net/musica_religiosa/no_tengo_miedo
991,Abre tu Jardín,Música Religiosa,musica_religiosa,abre_tu_jardin,15,7.2,1,R,https://acordes.lacuerda.net/musica_religiosa/abre_tu_jardin
992,Qué más te puedo dar?,Alex Campos,alex_campos,que_mas_te_puedo_dar,15,6.07,1,R,https://acordes.lacuerda.net/alex_campos/que_mas_te_puedo_dar
993,Restauraras el Santo Lugar,Marcos Witt,marcos_witt,restauraras_el_santo_lugar,14,9.71,1,R,https://acordes.lacuerda.net/marcos_witt/restauraras_el_santo_lugar
994,Tu nombre levantare,Alex Campos,alex_campos,tu_nombre_levantere,14,9.71,1,R,https://acordes.lacuerda.net/alex_campos/tu_nombre_levantere
995,Jesus es el señor,Marcos Witt,marcos_witt,jesus_es_el_senior,14,9.55,1,R,https://acordes.lacuerda.net/marcos_witt/jesus_es_el_senior
996,Padre de naciones,Generacion 12,generacion_12,padre_de_naciones,14,9.48,1,R,https://acordes.lacuerda.net/generacion_12/padre_de_naciones
997,El héroe de mi corazón,Tercer Cielo,tercer_cielo,el_heroe_de_mi_corazon,14,9.43,2,R,https://acordes.lacuerda.net/tercer_cielo/el_heroe_de_mi_corazon
998,Revélame tu majestad,Generacion 12,generacion_12,revelame_tu_majestad,14,9.43,1,R,https://acordes.lacuerda.net/generacion_12/revelame_tu_majestad
999,Por Siempre,Marco Barrientos,marco_barrientos,por_siempre,14,9.29,1,R,https://acordes.lacuerda.net/marco_barrientos/por_siempre
1000,Bendice Hoy,Marcos Witt,marcos_witt,bendice_hoy,14,9.21,1,R,https://acordes.lacuerda.net/marcos_witt/bendice_hoy
1001,Todo en esta vida,Música Religiosa,musica_religiosa,todo_en_esta_vida,14,9.21,1,R,https://acordes.lacuerda.net/musica_religiosa/todo_en_esta_vida
1002,Todo lo que respira,La IBI,ibi,todo_lo_que_respira,14,9.21,1,R,https://acordes.lacuerda.net/ibi/todo_lo_que_respira
1003,Lord of lords,Hillsong United,hillsong_united,lord_of_lords,14,9.14,1,R,https://acordes.lacuerda.net/hillsong_united/lord_of_lords
1004,Llévame,Marco Barrientos,marco_barrientos,llevame,14,9.07,1,R,https://acordes.lacuerda.net/marco_barrientos/llevame
1005,Un Nuevo Amor,Música Religiosa,musica_religiosa,un_nuevo_amor,14,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/un_nuevo_amor
1006,Ayúdame Señor,Música Religiosa,musica_religiosa,ayudame_senior,14,8.93,1,R,https://acordes.lacuerda.net/musica_religiosa/ayudame_senior
1007,Me gusta estar en tu casa,Danilo Montero,danilo_montero,me_gusta_estar_en_tu_casa,14,8.77,2,R,https://acordes.lacuerda.net/danilo_montero/me_gusta_estar_en_tu_casa
1008,Sáname,Música Religiosa,musica_religiosa,saname,14,8.66,1,R,https://acordes.lacuerda.net/musica_religiosa/saname
1009,Ven y Lléname,Generacion 12,generacion_12,ven_y_llename,14,8.64,1,R,https://acordes.lacuerda.net/generacion_12/ven_y_llename
1010,Tu eres mi respirar,Hillsong United,hillsong_united,tu_eres_mi_respirar,14,8.57,1,R,https://acordes.lacuerda.net/hillsong_united/tu_eres_mi_respirar
1011,Jeshua,Marcos Witt,marcos_witt,jeshua,14,8.43,1,R,https://acordes.lacuerda.net/marcos_witt/jeshua
1012,Me Rindo,Hillsong United,hillsong_united,me_rindo,14,8.43,1,R,https://acordes.lacuerda.net/hillsong_united/me_rindo
1013,Será llena la tierra,Marcos Witt,marcos_witt,sera_llena_la_tierra,14,8.43,1,T,https://acordes.lacuerda.net/marcos_witt/sera_llena_la_tierra
1014,Sé Entronado,Bethel Music,bethel_music,se_entronado,14,8.21,1,R,https://acordes.lacuerda.net/bethel_music/se_entronado
1015,Saviour King,Hillsong United,hillsong_united,saviour_king,14,8.18,1,R,https://acordes.lacuerda.net/hillsong_united/saviour_king
1016,Contempla a Dios,La IBI,ibi,contempla_a_dios,14,8.14,1,R,https://acordes.lacuerda.net/ibi/contempla_a_dios
1017,No te afanes,Marcos Witt,marcos_witt,no_te_afanes,14,8.07,1,R,https://acordes.lacuerda.net/marcos_witt/no_te_afanes
1018,Si te tengo a ti (Yeshua),Generacion 12,generacion_12,si_te_tengo_a_ti_yeshua,14,8.0,1,R,https://acordes.lacuerda.net/generacion_12/si_te_tengo_a_ti_yeshua
1019,"Gloria, Gloria",Música Religiosa,musica_religiosa,gloria_gloria,14,7.93,1,R,https://acordes.lacuerda.net/musica_religiosa/gloria_gloria
1020,Anhelo más de tí Señor,Miel San Marcos,miel_san_marcos,anhelo_mas_de_ti_senior,14,7.79,2,T,https://acordes.lacuerda.net/miel_san_marcos/anhelo_mas_de_ti_senior
1021,Pon un fuego,Generacion 12,generacion_12,pon_un_fuego,14,7.77,1,R,https://acordes.lacuerda.net/generacion_12/pon_un_fuego
1022,Jesús se el centro,Danilo Montero,danilo_montero,jesus_se_el_centro,14,7.46,2,R,https://acordes.lacuerda.net/danilo_montero/jesus_se_el_centro
1023,Nuestro Fruto,Marco Barrientos,marco_barrientos,nuestro_fruto,14,7.43,1,R,https://acordes.lacuerda.net/marco_barrientos/nuestro_fruto
1024,Oración por la familia,Música Religiosa,musica_religiosa,oracion_por_la_familia,14,7.43,1,R,https://acordes.lacuerda.net/musica_religiosa/oracion_por_la_familia
1025,Portones,Música Religiosa,musica_religiosa,portones,14,7.36,1,R,https://acordes.lacuerda.net/musica_religiosa/portones
1026,Here i am to wordship,Hillsong United,hillsong_united,here_i_am_to_wordship,14,7.29,1,R,https://acordes.lacuerda.net/hillsong_united/here_i_am_to_wordship
1027,Sera Llena la tierra,Música Religiosa,musica_religiosa,sera_llena_la_tierra,14,7.27,1,R,https://acordes.lacuerda.net/musica_religiosa/sera_llena_la_tierra
1028,A tí clamé,Rojo,rojo,a_ti_clame,14,7.07,1,R,https://acordes.lacuerda.net/rojo/a_ti_clame
1029,Angus dei,Marco Barrientos,marco_barrientos,angus_dei,14,6.98,1,R,https://acordes.lacuerda.net/marco_barrientos/angus_dei
1030,Nube Gris,Alex Campos,alex_campos,nube_gris,14,6.38,1,R,https://acordes.lacuerda.net/alex_campos/nube_gris
1031,Esta cayendo,Música Religiosa,musica_religiosa,esta_cayendo,14,5.95,1,R,https://acordes.lacuerda.net/musica_religiosa/esta_cayendo
1032,Break Free,Hillsong United,hillsong_united,break_free,14,5.86,1,R,https://acordes.lacuerda.net/hillsong_united/break_free
1033,Marcha Nupcial,Música Religiosa,musica_religiosa,marcha_nupcial,14,4.86,1,R,https://acordes.lacuerda.net/musica_religiosa/marcha_nupcial
1034,Gloria,Marcos Witt,marcos_witt,gloria,13,9.92,1,R,https://acordes.lacuerda.net/marcos_witt/gloria
1035,Mi fiel refugio,Marco Barrientos,marco_barrientos,mi_fiel_refugio,13,9.9,1,T,https://acordes.lacuerda.net/marco_barrientos/mi_fiel_refugio
1036,Soy Libre,Hillsong United,hillsong_united,soy_libre,13,9.9,1,T,https://acordes.lacuerda.net/hillsong_united/soy_libre
1037,Persigues mi corazón,Marco Barrientos,marco_barrientos,persigues_mi_corazon,13,9.69,1,R,https://acordes.lacuerda.net/marco_barrientos/persigues_mi_corazon
1038,"Oh, ven bendito Emanuel",Marcos Witt,marcos_witt,oh_ven_bendito_emanuel,13,9.62,1,R,https://acordes.lacuerda.net/marcos_witt/oh_ven_bendito_emanuel
1039,Acércame a ti,Miel San Marcos,miel_san_marcos,acercame_a_ti,13,9.54,1,R,https://acordes.lacuerda.net/miel_san_marcos/acercame_a_ti
1040,Hay Momentos,Marcos Witt,marcos_witt,hay_momentos,13,9.54,1,R,https://acordes.lacuerda.net/marcos_witt/hay_momentos
1041,Es tu gloria,Marco Barrientos,marco_barrientos,es_tu_gloria,13,9.52,1,T,https://acordes.lacuerda.net/marco_barrientos/es_tu_gloria
1042,"Una estrella, una rosa",Música Religiosa,musica_religiosa,una_estrella_una_rosa,13,9.37,1,R,https://acordes.lacuerda.net/musica_religiosa/una_estrella_una_rosa
1043,Te doy gloria,Hillsong United,hillsong_united,te_doy_gloria,13,9.33,1,T,https://acordes.lacuerda.net/hillsong_united/te_doy_gloria
1044,Maranathá,Música Religiosa,musica_religiosa,maranatha,13,9.31,1,R,https://acordes.lacuerda.net/musica_religiosa/maranatha
1045,Mi Cristo Roto,Música Religiosa,musica_religiosa,mi_cristo_roto,13,9.31,1,R,https://acordes.lacuerda.net/musica_religiosa/mi_cristo_roto
1046,Popurri Ranchero,Marcos Witt,marcos_witt,popurri_ranchero,13,9.31,1,R,https://acordes.lacuerda.net/marcos_witt/popurri_ranchero
1047,Yo Anhelo,Alex Campos,alex_campos,yo_anhelo,13,9.23,1,R,https://acordes.lacuerda.net/alex_campos/yo_anhelo
1048,Take it all,Hillsong United,hillsong_united,take_it_all,13,9.15,1,T,https://acordes.lacuerda.net/hillsong_united/take_it_all
1049,Hay una paloma blanca,Música Religiosa,musica_religiosa,hay_una_paloma_blanca,13,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/hay_una_paloma_blanca
1050,Mi amor y tu amor,Alex Campos,alex_campos,mi_amor_y_tu_amor,13,9.0,1,R,https://acordes.lacuerda.net/alex_campos/mi_amor_y_tu_amor
1051,Aleluya a nuestro Dios,Marcos Witt,marcos_witt,aleluya_a_nuestro_dios,13,8.87,3,"R,T",https://acordes.lacuerda.net/marcos_witt/aleluya_a_nuestro_dios
1052,Only Wanna,Hillsong United,hillsong_united,only_wanna,13,8.85,1,R,https://acordes.lacuerda.net/hillsong_united/only_wanna
1053,Mi Mano Esta Llena,Música Religiosa,musica_religiosa,mi_mano_esta_llena,13,8.77,1,R,https://acordes.lacuerda.net/musica_religiosa/mi_mano_esta_llena
1054,Eterna Luz,Hillsong United,hillsong_united,eterna_luz,13,8.71,1,R,https://acordes.lacuerda.net/hillsong_united/eterna_luz
1055,Hazme como tú,Marco Barrientos,marco_barrientos,hazme_como_tu,13,8.69,1,R,https://acordes.lacuerda.net/marco_barrientos/hazme_como_tu
1056,All Day,Hillsong United,hillsong_united,all_day,13,8.54,1,B,https://acordes.lacuerda.net/hillsong_united/all_day
1057,Yo soy el camino,Música Religiosa,musica_religiosa,yo_soy_el_camino,13,8.54,1,R,https://acordes.lacuerda.net/musica_religiosa/yo_soy_el_camino
1058,El me levantará,Marcos Witt,marcos_witt,el_me_levantara,13,8.48,1,R,https://acordes.lacuerda.net/marcos_witt/el_me_levantara
1059,Tantum Ergo,Música Religiosa,musica_religiosa,tantum_ergo,13,8.46,1,H,https://acordes.lacuerda.net/musica_religiosa/tantum_ergo
1060,No me habeis vosotros elegido,Música Religiosa,musica_religiosa,no_me_habeis_vosotros_elegido,13,8.33,1,R,https://acordes.lacuerda.net/musica_religiosa/no_me_habeis_vosotros_elegido
1061,Algo Anormal,Tercer Cielo,tercer_cielo,algo_anormal,13,8.13,3,R,https://acordes.lacuerda.net/tercer_cielo/algo_anormal
1062,Examiname (salmo139),Música Religiosa,musica_religiosa,examiname_salmo139,13,8.1,1,R,https://acordes.lacuerda.net/musica_religiosa/examiname_salmo139
1063,Jesús,Marcos Witt,marcos_witt,jesus,13,8.08,1,R,https://acordes.lacuerda.net/marcos_witt/jesus
1064,La elegida,Música Religiosa,musica_religiosa,la_elegida,13,8.06,1,R,https://acordes.lacuerda.net/musica_religiosa/la_elegida
1065,Déjame nacer de nuevo,Música Religiosa,musica_religiosa,dejame_nacer_de_nuevo,13,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/dejame_nacer_de_nuevo
1066,Bendito el que habita,Hillsong United,hillsong_united,bendito_el_que_habita,13,7.92,1,R,https://acordes.lacuerda.net/hillsong_united/bendito_el_que_habita
1067,Te Alabo,Música Religiosa,musica_religiosa,te_alabo,13,7.77,1,R,https://acordes.lacuerda.net/musica_religiosa/te_alabo
1068,Quiero Alabarte,Generacion 12,generacion_12,quiero_alabarte,13,7.69,1,R,https://acordes.lacuerda.net/generacion_12/quiero_alabarte
1069,Vivo para tí,Hillsong United,hillsong_united,vivo_para_ti,13,7.69,1,R,https://acordes.lacuerda.net/hillsong_united/vivo_para_ti
1070,Amigo,Rojo,rojo,amigo,13,7.67,1,R,https://acordes.lacuerda.net/rojo/amigo
1071,Salmo 139,Música Religiosa,musica_religiosa,salmo_139,13,7.38,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_139
1072,Sólo a tí,Marco Barrientos,marco_barrientos,solo_a_ti,13,7.08,1,R,https://acordes.lacuerda.net/marco_barrientos/solo_a_ti
1073,Magnifico Dios,Marco Barrientos,marco_barrientos,magnifico_dios,13,7.06,1,R,https://acordes.lacuerda.net/marco_barrientos/magnifico_dios
1074,Yo vengo del sur,Música Religiosa,musica_religiosa,yo_vengo_del_sur,13,6.77,1,R,https://acordes.lacuerda.net/musica_religiosa/yo_vengo_del_sur
1075,Vamos cantad,Música Religiosa,musica_religiosa,vamos_cantad,13,6.67,1,R,https://acordes.lacuerda.net/musica_religiosa/vamos_cantad
1076,No Hay Nadie Como Tu,Música Religiosa,musica_religiosa,no_hay_nadie_como_tu,13,6.08,1,R,https://acordes.lacuerda.net/musica_religiosa/no_hay_nadie_como_tu
1077,Vamos a la ciudad,Marco Barrientos,marco_barrientos,vamos_a_la_ciudad,13,4.38,1,R,https://acordes.lacuerda.net/marco_barrientos/vamos_a_la_ciudad
1078,Himno de JMJ 2016,Música Religiosa,musica_religiosa,himno_de_jmj_2016,12,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/himno_de_jmj_2016
1079,El me diseñó,Tercer Cielo,tercer_cielo,el_me_disenio,12,9.83,1,R,https://acordes.lacuerda.net/tercer_cielo/el_me_disenio
1080,Take Heart,Hillsong United,hillsong_united,take_heart,12,9.83,1,R,https://acordes.lacuerda.net/hillsong_united/take_heart
1081,Porque para siempre,Danilo Montero,danilo_montero,porque_para_siempre,12,9.67,2,R,https://acordes.lacuerda.net/danilo_montero/porque_para_siempre
1082,Tu Amor,Alex Campos,alex_campos,tu_amor,12,9.67,1,R,https://acordes.lacuerda.net/alex_campos/tu_amor
1083,Isaías 40,Danilo Montero,danilo_montero,isaias_40,12,9.58,2,R,https://acordes.lacuerda.net/danilo_montero/isaias_40
1084,Dios haz tu obra en mí,Danilo Montero,danilo_montero,dios_haz_tu_obra_en_mi,12,9.58,1,R,https://acordes.lacuerda.net/danilo_montero/dios_haz_tu_obra_en_mi
1085,Gozo Gozo,Música Religiosa,musica_religiosa,gozo_gozo,12,9.58,1,R,https://acordes.lacuerda.net/musica_religiosa/gozo_gozo
1086,Ten piedad de mí,La IBI,ibi,ten_piedad_de_mi,12,9.42,1,R,https://acordes.lacuerda.net/ibi/ten_piedad_de_mi
1087,Tu eres todo para mi,Barak,barak,tu_eres_todo_para_mi,12,9.4,2,R,https://acordes.lacuerda.net/barak/tu_eres_todo_para_mi
1088,Correremos,Hillsong United,hillsong_united,correremos,12,9.33,1,R,https://acordes.lacuerda.net/hillsong_united/correremos
1089,Ha traido la esperanza,Música Religiosa,musica_religiosa,ha_traido_la_esperanza,12,9.33,1,R,https://acordes.lacuerda.net/musica_religiosa/ha_traido_la_esperanza
1090,Enséñame,Danilo Montero,danilo_montero,enseniame,12,9.29,2,"R,T",https://acordes.lacuerda.net/danilo_montero/enseniame
1091,Ahora tengo más,Tercer Cielo,tercer_cielo,ahora_tengo_mas,12,9.25,3,R,https://acordes.lacuerda.net/tercer_cielo/ahora_tengo_mas
1092,Mi Fiesta,Alex Campos,alex_campos,mi_fiesta,12,9.25,2,R,https://acordes.lacuerda.net/alex_campos/mi_fiesta
1093,Alabanzas al Señor,Música Religiosa,musica_religiosa,alabanzas_al_senior,12,9.23,2,R,https://acordes.lacuerda.net/musica_religiosa/alabanzas_al_senior
1094,El amor de Dios,Música Religiosa,musica_religiosa,el_amor_de_dios,12,9.15,1,R,https://acordes.lacuerda.net/musica_religiosa/el_amor_de_dios
1095,El Reina,Tercer Cielo,tercer_cielo,el_reina,12,9.08,1,R,https://acordes.lacuerda.net/tercer_cielo/el_reina
1096,Las Naciones Cantarán,Danilo Montero,danilo_montero,las_naciones_cantaran,12,8.98,1,R,https://acordes.lacuerda.net/danilo_montero/las_naciones_cantaran
1097,Bautizamé (pentecostés),Miel San Marcos,miel_san_marcos,bautizame_pentecostes,12,8.92,2,R,https://acordes.lacuerda.net/miel_san_marcos/bautizame_pentecostes
1098,La canción feliz,Marco Barrientos,marco_barrientos,la_cancion_feliz,12,8.92,1,T,https://acordes.lacuerda.net/marco_barrientos/la_cancion_feliz
1099,Te rindo mi vida,Marco Barrientos,marco_barrientos,te_rindo_mi_vida,12,8.92,1,R,https://acordes.lacuerda.net/marco_barrientos/te_rindo_mi_vida
1100,Your name high,Hillsong United,hillsong_united,your_name_high,12,8.92,1,T,https://acordes.lacuerda.net/hillsong_united/your_name_high
1101,"Más cerca, Dios, de ti",Música Religiosa,musica_religiosa,mas_cerca_dios_de_ti,12,8.75,1,R,https://acordes.lacuerda.net/musica_religiosa/mas_cerca_dios_de_ti
1102,Cada vez que te recibo Señor,Música Religiosa,musica_religiosa,cada_vez_que_te_recibo_senior,12,8.67,1,R,https://acordes.lacuerda.net/musica_religiosa/cada_vez_que_te_recibo_senior
1103,El es mi Rey,Marcos Witt,marcos_witt,el_es_mi_rey,12,8.58,1,R,https://acordes.lacuerda.net/marcos_witt/el_es_mi_rey
1104,Espiritu Santo,Música Religiosa,musica_religiosa,espiritu_santo,12,8.58,1,R,https://acordes.lacuerda.net/musica_religiosa/espiritu_santo
1105,Quisiera ser,Alex Campos,alex_campos,quisiera_ser,12,8.58,1,R,https://acordes.lacuerda.net/alex_campos/quisiera_ser
1106,Yo quiero mas,Marco Barrientos,marco_barrientos,yo_quiero_mas,12,8.58,1,R,https://acordes.lacuerda.net/marco_barrientos/yo_quiero_mas
1107,Hagamos guerra espiritual,Marco Barrientos,marco_barrientos,hagamos_guerra_espiritual,12,8.54,1,R,https://acordes.lacuerda.net/marco_barrientos/hagamos_guerra_espiritual
1108,Asombrado estoy de tí,Miel San Marcos,miel_san_marcos,asombrado_estoy_de_ti,12,8.52,2,R,https://acordes.lacuerda.net/miel_san_marcos/asombrado_estoy_de_ti
1109,Mira Nomás,Marcos Witt,marcos_witt,mira_nomas,12,8.5,1,R,https://acordes.lacuerda.net/marcos_witt/mira_nomas
